Time | IR | R1 | R2 | R3 | R4 | R5 | OP | WB | WE | WriteData
                   0ns | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | xxxxxxxx
                   5ns | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 00000000
                  85ns | 21100001 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 0 | 00000000
                  95ns | 21100001 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 0 | 00000001
                 105ns | 21100001 | 00000000 | 00000000 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 1 | 00000001
                 115ns | 21100001 | 00000001 | 00000000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 00000001
                 125ns | 21100001 | 00000001 | 00000000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 00000000
                 135ns | 11211000 | 00000001 | 00000000 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 0 | 00000000
                 145ns | 11211000 | 00000001 | 00000000 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 0 | 00000002
                 155ns | 11211000 | 00000001 | 00000000 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 1 | 00000002
                 165ns | 11211000 | 00000001 | 00000002 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 00000002
                 185ns | 1b322000 | 00000001 | 00000002 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 0 | 00000002
                 195ns | 1b322000 | 00000001 | 00000002 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 0 | 00000008
                 205ns | 1b322000 | 00000001 | 00000002 | 00000000 | 00000000 | 00000000 | 0001 | 0 | 1 | 00000008
                 215ns | 1b322000 | 00000001 | 00000002 | 00000008 | 00000000 | 00000000 | 0000 | 0 | 0 | 00000008
                 235ns | 12412000 | 00000001 | 00000002 | 00000008 | 00000000 | 00000000 | 0001 | 0 | 0 | 00000008
                 245ns | 12412000 | 00000001 | 00000002 | 00000008 | 00000000 | 00000000 | 0001 | 0 | 0 | ffffffff
                 255ns | 12412000 | 00000001 | 00000002 | 00000008 | 00000000 | 00000000 | 0001 | 0 | 1 | ffffffff
                 265ns | 12412000 | 00000001 | 00000002 | 00000008 | ffffffff | 00000000 | 0000 | 0 | 0 | ffffffff
                 285ns | 1a443000 | 00000001 | 00000002 | 00000008 | ffffffff | 00000000 | 0001 | 0 | 0 | ffffffff
                 295ns | 1a443000 | 00000001 | 00000002 | 00000008 | ffffffff | 00000000 | 0001 | 0 | 0 | 00ffffff
                 305ns | 1a443000 | 00000001 | 00000002 | 00000008 | ffffffff | 00000000 | 0001 | 0 | 1 | 00ffffff
                 315ns | 1a443000 | 00000001 | 00000002 | 00000008 | 00ffffff | 00000000 | 0000 | 0 | 0 | 00ffffff
                 335ns | 17234000 | 00000001 | 00000002 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | 0000ffff
                 345ns | 17234000 | 00000001 | 00000002 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | 00fffff7
                 355ns | 17234000 | 00000001 | 00000002 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 1 | 00fffff7
                 365ns | 17234000 | 00000001 | 00fffff7 | 00000008 | 00ffffff | 00000000 | 0000 | 0 | 0 | 00fffff7
                 385ns | 14220000 | 00000001 | 00fffff7 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | 00fffff7
                 395ns | 14220000 | 00000001 | 00fffff7 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | ff000008
                 405ns | 14220000 | 00000001 | 00fffff7 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 1 | ff000008
                 415ns | 14220000 | 00000001 | ff000008 | 00000008 | 00ffffff | 00000000 | 0000 | 0 | 0 | ff000008
                 435ns | 19421000 | 00000001 | ff000008 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | 00fffff7
                 445ns | 19421000 | 00000001 | ff000008 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 0 | fe000011
                 455ns | 19421000 | 00000001 | ff000008 | 00000008 | 00ffffff | 00000000 | 0001 | 0 | 1 | fe000011
                 465ns | 19421000 | 00000001 | ff000008 | 00000008 | fe000011 | 00000000 | 0000 | 0 | 0 | fe000011
                 485ns | 15524000 | 00000001 | ff000008 | 00000008 | fe000011 | 00000000 | 0001 | 0 | 0 | fe000011
                 495ns | 15524000 | 00000001 | ff000008 | 00000008 | fe000011 | 00000000 | 0001 | 0 | 0 | ff000019
                 505ns | 15524000 | 00000001 | ff000008 | 00000008 | fe000011 | 00000000 | 0001 | 0 | 1 | ff000019
                 515ns | 15524000 | 00000001 | ff000008 | 00000008 | fe000011 | ff000019 | 0000 | 0 | 0 | ff000019
                 535ns | 16324000 | 00000001 | ff000008 | 00000008 | fe000011 | ff000019 | 0001 | 0 | 0 | ff000019
                 545ns | 16324000 | 00000001 | ff000008 | 00000008 | fe000011 | ff000019 | 0001 | 0 | 0 | fe000000
                 555ns | 16324000 | 00000001 | ff000008 | 00000008 | fe000011 | ff000019 | 0001 | 0 | 1 | fe000000
                 565ns | 16324000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | fe000000
                 585ns | 00000000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | fe000000
                 595ns | 00000000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | 00000000
                 635ns | 21100001 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0011 | 0 | 0 | 00000000
                 645ns | 21100001 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0011 | 0 | 0 | 00000001
                 655ns | 21100001 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0011 | 0 | 1 | 00000001
                 665ns | 21100001 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | 00000001
                 675ns | 21100001 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | 00000000
                 685ns | 12211000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 00000000
                 695ns | 12211000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 00000000
                 705ns | 12211000 | 00000001 | ff000008 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 1 | 00000000
                 715ns | 12211000 | 00000001 | 00000000 | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | 00000000
                 735ns | 12201000 | 00000001 | 00000000 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 00000000
                 745ns | 12201000 | 00000001 | 00000000 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | ffffffff
                 755ns | 12201000 | 00000001 | 00000000 | fe000000 | fe000011 | ff000019 | 0001 | 0 | 1 | ffffffff
                 765ns | 12201000 | 00000001 | ffffffff | fe000000 | fe000011 | ff000019 | 0000 | 0 | 0 | ffffffff
                 785ns | 18311000 | 00000001 | ffffffff | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | ffffffff
                 795ns | 18311000 | 00000001 | ffffffff | fe000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 80000000
                 805ns | 18311000 | 00000001 | ffffffff | fe000000 | fe000011 | ff000019 | 0001 | 0 | 1 | 80000000
                 815ns | 18311000 | 00000001 | ffffffff | 80000000 | fe000011 | ff000019 | 0000 | 0 | 0 | 80000000
                 835ns | 11423000 | 00000001 | ffffffff | 80000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 80000000
                 845ns | 11423000 | 00000001 | ffffffff | 80000000 | fe000011 | ff000019 | 0001 | 0 | 0 | 7fffffff
                 855ns | 11423000 | 00000001 | ffffffff | 80000000 | fe000011 | ff000019 | 0001 | 0 | 1 | 7fffffff
                 865ns | 11423000 | 00000001 | ffffffff | 80000000 | 7fffffff | ff000019 | 0000 | 0 | 0 | 7fffffff
HALT encountered at 8850
ctrl.v:41: $finish called at 8850 (100ps)
                 885ns | f0000000 | 00000001 | ffffffff | 80000000 | 7fffffff | ff000019 | 0000 | 0 | 0 | 7fffffff
