WARNING: im.v:27: $readmemh: The behaviour for reg[...] mem[N:0]; $readmemh("...", mem); changed in the 1364-2005 standard. To avoid ambiguity, use mem[0:N] or explicit range parameters $readmemh("...", mem, start, stop);. Defaulting to 1364-2005 behavior.
WARNING: im.v:27: $readmemh(imem.data): Not enough words in the file for the requested range [0:65535].
Time | IR | PC | R1 | R2 | R3 | OP | BS | PW | PS
                   0ns | 00000000 | xxxx | 00000000 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                   5ns | xxxxxxxx | 0000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                  15ns | 00000000 | 0000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                  20ns | 00000000 | 0000 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                  25ns | 00000000 | 0001 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 0
                  65ns | 00000000 | 0001 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                  75ns | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 0000 | 0 | 0 | 0
                  85ns | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 0 | 0
                  95ns | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 0 | 0
                 105ns | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 0011 | 0 | 0 | 0
                 115ns | 21100001 | 0002 | 00000001 | 00000000 | 00000000 | 0000 | 0 | 1 | 0
                 125ns | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 0000 | 0 | 0 | 0
                 135ns | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 0001 | 0 | 0 | 0
                 145ns | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 0001 | 0 | 0 | 0
                 155ns | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 0001 | 0 | 0 | 0
                 165ns | 11211000 | 0003 | 00000001 | 00000002 | 00000000 | 0000 | 0 | 1 | 0
                 175ns | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 0000 | 0 | 0 | 0
                 185ns | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 0001 | 0 | 0 | 0
                 195ns | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 0001 | 0 | 0 | 0
