WARNING: im.v:27: $readmemh: The behaviour for reg[...] mem[N:0]; $readmemh("...", mem); changed in the 1364-2005 standard. To avoid ambiguity, use mem[0:N] or explicit range parameters $readmemh("...", mem, start, stop);. Defaulting to 1364-2005 behavior.
WARNING: im.v:27: $readmemh(imem.data): Not enough words in the file for the requested range [0:65535].
Time | IR | PC | R1 | R2 | R3 | OP | BS | PW | PS | WE
                   0 | 00000000 | xxxx | 00000000 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
                  50 | 00000000 | 0000 | 00000000 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
                 250 | 00000000 | 0000 | 00000000 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
                 350 | 00000000 | 0001 | 00000000 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
                 450 | 00000000 | 0001 | 00000000 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
                 550 | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
                 650 | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 3 | 0 | 0 | 0 | 0
                 750 | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 3 | 0 | 0 | 0 | 0
                 850 | 21100001 | 0002 | 00000000 | 00000000 | 00000000 | 3 | 0 | 0 | 0 | 1
                 950 | 21100001 | 0002 | 00000001 | 00000000 | 00000000 | 0 | 0 | 1 | 0 | 0
                1050 | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 0 | 0 | 0 | 0 | 0
                1150 | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 1 | 0 | 0 | 0 | 0
                1250 | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 1 | 0 | 0 | 0 | 0
                1350 | 11211000 | 0003 | 00000001 | 00000000 | 00000000 | 1 | 0 | 0 | 0 | 1
                1450 | 11211000 | 0003 | 00000001 | 00000002 | 00000000 | 0 | 0 | 1 | 0 | 0
                1550 | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 0 | 0 | 0 | 0 | 0
                1650 | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 1 | 0 | 0 | 0 | 0
                1750 | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 1 | 0 | 0 | 0 | 0
                1850 | 1b322000 | 0004 | 00000001 | 00000002 | 00000000 | 1 | 0 | 0 | 0 | 1
                1950 | 1b322000 | 0004 | 00000001 | 00000002 | 00000008 | 0 | 0 | 1 | 0 | 0
                2050 | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 0 | 0 | 0 | 0 | 0
                2150 | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
                2250 | 12412000 | 0005 | 00000001 | 00000002 | 00000008 | 1 | 0 | 0 | 0 | 0
